record_type,scenario_id,denominator_id,design_id,q,log_kappa,kappa,optimized_mean,log_likelihood,delta_from_profile_max,at_profile_boundary,profile_log_kappa_min,profile_log_kappa_max,profile_step,identifiability_tolerance,dispersion_identified,status,reason
profile,primary,primary_conservative_method_1,intercept_only,1,-4,0.0183156388887342,0.714703739818883,-31.5484179160633,-19.3133231356481,true,-4,12,0.5,1e-06,false,unsupported_identification,"unsupported_identification: hyperprior sensitivity is unavailable in the frozen contract; aggregate cells do not separate overdispersion, cell heterogeneity, and dependence"
profile,primary,primary_conservative_method_1,intercept_only,1,-3.5,0.0301973834223185,0.720200482132584,-29.1857898788505,-16.9506950984353,false,-4,12,0.5,1e-06,false,unsupported_identification,"unsupported_identification: hyperprior sensitivity is unavailable in the frozen contract; aggregate cells do not separate overdispersion, cell heterogeneity, and dependence"
profile,primary,primary_conservative_method_1,intercept_only,1,-3,0.0497870683678639,0.728883924981532,-26.9041561097914,-14.6690613293762,false,-4,12,0.5,1e-06,false,unsupported_identification,"unsupported_identification: hyperprior sensitivity is unavailable in the frozen contract; aggregate cells do not separate overdispersion, cell heterogeneity, and dependence"
profile,primary,primary_conservative_method_1,intercept_only,1,-2.5,0.0820849986238988,0.742209807360787,-24.7436100384969,-12.5085152580816,false,-4,12,0.5,1e-06,false,unsupported_identification,"unsupported_identification: hyperprior sensitivity is unavailable in the frozen contract; aggregate cells do not separate overdispersion, cell heterogeneity, and dependence"
profile,primary,primary_conservative_method_1,intercept_only,1,-2,0.135335283236613,0.761698613655079,-22.7535045690692,-10.518409788654,false,-4,12,0.5,1e-06,false,unsupported_identification,"unsupported_identification: hyperprior sensitivity is unavailable in the frozen contract; aggregate cells do not separate overdispersion, cell heterogeneity, and dependence"
profile,primary,primary_conservative_method_1,intercept_only,1,-1.5,0.22313016014843,0.788101118452378,-20.9821881551745,-8.74709337475922,false,-4,12,0.5,1e-06,false,unsupported_identification,"unsupported_identification: hyperprior sensitivity is unavailable in the frozen contract; aggregate cells do not separate overdispersion, cell heterogeneity, and dependence"
profile,primary,primary_conservative_method_1,intercept_only,1,-1,0.367879441171442,0.820133462147722,-19.4571925963835,-7.22209781596825,false,-4,12,0.5,1e-06,false,unsupported_identification,"unsupported_identification: hyperprior sensitivity is unavailable in the frozen contract; aggregate cells do not separate overdispersion, cell heterogeneity, and dependence"
profile,primary,primary_conservative_method_1,intercept_only,1,-0.5,0.606530659712633,0.854059492158116,-18.1670460192223,-5.93195123880707,false,-4,12,0.5,1e-06,false,unsupported_identification,"unsupported_identification: hyperprior sensitivity is unavailable in the frozen contract; aggregate cells do not separate overdispersion, cell heterogeneity, and dependence"
profile,primary,primary_conservative_method_1,intercept_only,1,0,1,0.885402110788866,-17.0646166311899,-4.82952185077468,false,-4,12,0.5,1e-06,false,unsupported_identification,"unsupported_identification: hyperprior sensitivity is unavailable in the frozen contract; aggregate cells do not separate overdispersion, cell heterogeneity, and dependence"
profile,primary,primary_conservative_method_1,intercept_only,1,0.5,1.64872127070013,0.911296835071166,-16.0936381083463,-3.85854332793107,false,-4,12,0.5,1e-06,false,unsupported_identification,"unsupported_identification: hyperprior sensitivity is unavailable in the frozen contract; aggregate cells do not separate overdispersion, cell heterogeneity, and dependence"
profile,primary,primary_conservative_method_1,intercept_only,1,1,2.71828182845905,0.931091122885995,-15.215652005826,-2.98055722541078,false,-4,12,0.5,1e-06,false,unsupported_identification,"unsupported_identification: hyperprior sensitivity is unavailable in the frozen contract; aggregate cells do not separate overdispersion, cell heterogeneity, and dependence"
profile,primary,primary_conservative_method_1,intercept_only,1,1.5,4.48168907033806,0.945471158308039,-14.4210306149819,-2.18593583456666,false,-4,12,0.5,1e-06,false,unsupported_identification,"unsupported_identification: hyperprior sensitivity is unavailable in the frozen contract; aggregate cells do not separate overdispersion, cell heterogeneity, and dependence"
