record_type,scenario_id,denominator_id,cell_id,cell_label,procedure,n,p_fixed,successes,trials,observed_rate,wilson_low_95,wilson_high_95,cp_low_95,cp_high_95,exact_p_value,critical_count,actual_size,raw_reject,holm_adjusted_p,holm_reject,power,first_p_at_or_above_80,grid_points,grid_min,grid_max,grid_argmin,grid_argmax,coverage_at_threshold,exact_conditional_p,conditional_space_mass,observed_deviance,informative,empirical_test_scope,conditional_on_model_assumptions,status,reason
cell,primary,primary_conservative_method_1,CP02-VHF-2015,VHF — 2015,exact_binomial_upper_tail,15,,15,15,1,0.796116698964151,1,0.781980639089466,1,3.0517578125e-05,12,0.017578125,true,0.000152587890625,true,,,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Finite Binomial tail/interval inversion under fixed n; not unconditional empirical exactness.
cell,primary,primary_conservative_method_1,CP02-VHF-2016,VHF — 2016,exact_binomial_upper_tail,32,,32,32,1,0.89282080174493,1,0.891118839320647,1,2.3283064365387e-10,22,0.0250512298662215,true,2.79396772384644e-09,true,,,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Finite Binomial tail/interval inversion under fixed n; not unconditional empirical exactness.
cell,primary,primary_conservative_method_1,CP02-VHF-2017,VHF — 2017,exact_binomial_upper_tail,19,,19,19,1,0.831820775947384,1,0.823533088193034,1,1.9073486328125e-06,14,0.0317840576171875,true,1.52587890625e-05,true,,,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Finite Binomial tail/interval inversion under fixed n; not unconditional empirical exactness.
cell,primary,primary_conservative_method_1,CP02-VHF-2018,VHF — 2018,exact_binomial_upper_tail,25,,25,25,1,0.866807749060952,1,0.862814828469287,1,2.98023223876953e-08,18,0.0216426253318787,true,3.27825546264648e-07,true,,,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Finite Binomial tail/interval inversion under fixed n; not unconditional empirical exactness.
cell,primary,primary_conservative_method_1,CP02-VHF-2019,VHF — 2019,exact_binomial_upper_tail,26,,24,26,0.923076923076923,0.75858446228371,0.978644911527724,0.748697083304626,0.990544608996287,5.24520874023438e-06,18,0.0377593487501144,true,3.67164611816406e-05,true,,,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Finite Binomial tail/interval inversion under fixed n; not unconditional empirical exactness.
cell,primary,primary_conservative_method_1,CP02-PTT-2019,PTT — 2019,exact_binomial_upper_tail,18,,17,18,0.944444444444444,0.742426992181274,0.990124809021697,0.727056400326631,0.998594443832631,7.2479248046875e-05,13,0.048126220703125,true,0.0002899169921875,true,,,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Finite Binomial tail/interval inversion under fixed n; not unconditional empirical exactness.
cell,primary,primary_conservative_method_1,CP02-VHF-2020,VHF — 2020,exact_binomial_upper_tail,24,,24,24,1,0.86202379532502,1,0.857526402277474,1,5.96046447753906e-08,17,0.0319573283195496,true,5.96046447753906e-07,true,,,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Finite Binomial tail/interval inversion under fixed n; not unconditional empirical exactness.
cell,primary,primary_conservative_method_1,CP02-PTT-2020,PTT — 2020,exact_binomial_upper_tail,21,,20,21,0.952380952380952,0.773306399258774,0.991544012190174,0.761840090063179,0.998795116551637,1.04904174804688e-05,15,0.0391769409179688,true,6.29425048828125e-05,true,,,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Finite Binomial tail/interval inversion under fixed n; not unconditional empirical exactness.
cell,primary,primary_conservative_method_1,CP02-VHF-2021,VHF — 2021,exact_binomial_upper_tail,16,,15,16,0.9375,0.716712624297011,0.988880655235358,0.697679261565468,0.998418888277234,0.0002593994140625,12,0.0384063720703125,true,0.000603675842285156,true,,,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Finite Binomial tail/interval inversion under fixed n; not unconditional empirical exactness.
cell,primary,primary_conservative_method_1,CP02-PTT-2021,PTT — 2021,exact_binomial_upper_tail,20,,18,20,0.9,0.698966354771513,0.972133518786232,0.683017285980918,0.987651472829705,0.000201225280761719,15,0.0206947326660156,true,0.000603675842285156,true,,,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Finite Binomial tail/interval inversion under fixed n; not unconditional empirical exactness.
cell,primary,primary_conservative_method_1,CP02-VHF-2022,VHF — 2022,exact_binomial_upper_tail,12,,12,12,1,0.757505993344759,1,0.735351530602949,1,0.000244140625,10,0.019287109375,true,0.000603675842285156,true,,,,,,,,,,,,,reference_distribution_exact_conditionally; empirical applicability is illustrative pending unit-independence evidence,true,ok_conditional,Finite Binomial tail/interval inversion under fixed n; not unconditional empirical exactness.
